vote_intention,consider_trump,not_trump,primary_party,education,state,race,gender,age_group
Yes,Yes,Other,Republican,Some college,CO,White,Female,50-69
Yes,Yes,No,Republican,Some college,MO,White,Female,50-69
Yes,No,Other,Democratic,Postgrad,VA,White,Female,30-49
Yes,No,Other,Democratic,College degree,OH,White,Female,50-69
No,No,Other,Other,College degree,PA,White,Male,30-49
Yes,No,Other,Democratic,Postgrad,OH,White,Female,30-49
Yes,Yes,Other,Republican,College degree,LA,White,Female,30-49
Yes,Yes,Yes,Republican,Postgrad,UT,White,Male,30-49
Yes,Yes,No,Republican,Postgrad,NJ,White,Female,50-69
Yes,No,Other,Democratic,Some college,NC,American Indian,Female,50-69
Yes,No,Other,Other,College degree,PA,White,Female,50-69
Yes,Yes,No,Republican,Some college,NY,White,Female,70+
Yes,Yes,No,Republican,College degree,OH,White,Female,50-69
Yes,Yes,No,Republican,Some college,MA,White,Female,30-49
Yes,Yes,No,Republican,Some college,TN,White,Female,50-69
Yes,No,Other,Democratic,Postgrad,MA,White,Female,50-69
Yes,Yes,No,Republican,Some college,AZ,White,Male,70+
Yes,Yes,No,Republican,College degree,OH,White,Female,50-69
Yes,Yes,No,Other,College degree,NJ,White,Female,50-69
No,Yes,Yes,Other,College degree,CA,White,Female,30-49
Yes,Yes,Yes,Republican,Postgrad,FL,White,Female,50-69
Yes,No,Other,Democratic,Postgrad,PA,White,Female,50-69
Yes,Yes,Other,Republican,Postgrad,MD,White,Female,50-69
Yes,No,Other,Democratic,College degree,MD,White,Female,30-49
Yes,Yes,No,Republican,Postgrad,MD,White,Female,50-69
Yes,Yes,Yes,Republican,Some college,VA,White,Female,30-49
No,Other,No,Other,High school or less,IN,White,Male,30-49
Yes,No,Other,Other,Some college,CA,White,Male,50-69
Yes,Yes,No,Republican,High school or less,PA,White,Female,30-49
Yes,No,Other,Democratic,Postgrad,OH,White,Male,30-49
Yes,Yes,No,Republican,College degree,WI,White,Female,50-69
Yes,No,Other,Democratic,Some college,IN,White,Female,30-49
Yes,Yes,Yes,Democratic,Postgrad,IL,White,Male,30-49
Yes,Other,Other,Other,College degree,NJ,White,Female,50-69
Yes,Yes,Yes,Democratic,College degree,FL,White,Male,30-49
Yes,Yes,No,Republican,High school or less,NY,White,Male,30-49
Yes,Yes,No,Republican,Some college,TX,White,Male,30-49
Yes,Yes,No,Republican,Some college,NJ,White,Male,30-49
Yes,No,Other,Democratic,College degree,VA,White,Female,30-49
Yes,Yes,Other,Republican,Postgrad,KS,White,Female,30-49
Yes,No,Other,Other,College degree,IA,White,Female,50-69
Yes,Yes,Other,Democratic,Some college,NC,White,Female,50-69
No,Other,No,Other,College degree,CA,White,Female,30-49
Yes,No,Other,Democratic,Postgrad,CT,White,Male,30-49
Yes,Yes,No,Republican,High school or less,MA,White,Female,50-69
Other,Yes,No,Other,Some college,FL,American Indian,Female,30-49
Yes,Other,Other,Republican,Some college,NC,White,Male,30-49
Yes,No,Other,Democratic,Postgrad,MI,White,Male,70+
Yes,No,Other,Democratic,Postgrad,IL,White,Female,30-49
Yes,No,Other,Democratic,Some college,IL,White,Female,50-69
Yes,No,Other,Democratic,College degree,IN,White,Female,30-49
Yes,Other,Yes,Republican,Postgrad,NJ,White,Male,30-49
Yes,Yes,Yes,Other,Some college,TX,White,Male,50-69
Yes,Yes,Other,Republican,Postgrad,PA,White,Male,50-69
Yes,Yes,No,Republican,High school or less,MI,White,Male,50-69
Yes,Other,Other,Republican,Some college,TN,White,Female,30-49
Other,Yes,No,Other,Some college,TN,White,Male,30-49
Yes,Yes,Yes,Democratic,Postgrad,NC,White,Male,50-69
Yes,No,Other,Democratic,Some college,OR,White,Female,30-49
Yes,No,Other,Other,Postgrad,CA,White,Male,50-69
Yes,No,Other,Democratic,College degree,NC,White,Male,50-69
Yes,Other,Other,Republican,High school or less,AR,White,Male,30-49
Yes,No,Other,Democratic,Some college,FL,White,Male,70+
Yes,No,Other,Democratic,Postgrad,MD,White,Male,30-49
Yes,No,Other,Democratic,Some college,OK,White,Male,70+
Yes,Yes,Other,Republican,Some college,GA,White,Female,30-49
Yes,Yes,Yes,Other,College degree,TX,White,Male,50-69
Yes,Yes,No,Republican,High school or less,FL,White,Male,30-49
Yes,No,Other,Other,Some college,MI,Black,Female,18-29
Yes,Yes,Yes,Republican,Some college,TN,White,Male,30-49
Yes,Yes,Other,Other,Some college,MI,White,Female,70+
Other,No,Other,Other,High school or less,IL,White,Female,50-69
Yes,Yes,Yes,Republican,Postgrad,VA,White,Male,50-69
Yes,No,Other,Democratic,High school or less,MO,Black,Female,50-69
Other,Other,Other,Other,High school or less,KY,White,Male,18-29
Yes,Yes,No,Republican,College degree,TX,White,Male,50-69
No,No,Other,Other,College degree,AZ,American Indian,Female,18-29
No,No,Other,Other,High school or less,NJ,White,Female,70+
Yes,Yes,Yes,Republican,Postgrad,IN,White,Male,18-29
Yes,Yes,No,Republican,Postgrad,TN,White,Male,50-69
Yes,Yes,No,Republican,Postgrad,SC,White,Female,50-69
Yes,No,Other,Democratic,Some college,WI,White,Male,70+
Yes,No,Other,Democratic,Postgrad,CA,White,Male,50-69
Yes,No,Other,Democratic,College degree,MA,White,Male,30-49
Yes,Yes,Yes,Republican,College degree,FL,Asian,Female,30-49
Other,Other,Other,Other,Some college,WA,White,Male,50-69
Yes,Yes,Yes,Democratic,Postgrad,NY,White,Female,50-69
Yes,No,Other,Democratic,College degree,OH,White,Male,30-49
Yes,No,Other,Democratic,Some college,IN,Black,Female,18-29
Yes,No,Other,Democratic,College degree,NY,White,Male,50-69
Yes,Yes,No,Republican,Some college,TN,White,Female,30-49
Yes,No,Other,Democratic,College degree,AZ,White,Male,30-49
Yes,No,Other,Republican,High school or less,GA,Black,Female,30-49
No,No,Other,Other,Some college,SC,White,Female,18-29
Yes,Yes,No,Other,College degree,MA,White,Female,50-69
Yes,No,Other,Democratic,High school or less,IL,White,Female,70+
Yes,Yes,Yes,Republican,Postgrad,NJ,White,Male,70+
Yes,Yes,No,Republican,College degree,AL,White,Male,50-69
Yes,Yes,No,Republican,Postgrad,AZ,White,Male,50-69
Other,Other,Other,Other,High school or less,PA,White,Male,50-69
Yes,No,Other,Democratic,Some college,NC,White,Female,30-49
Yes,No,Other,Democratic,College degree,NJ,White,Female,30-49
Yes,Other,Other,Other,College degree,NJ,Asian,Female,50-69
Yes,Yes,Other,Other,High school or less,FL,White,Male,30-49
Yes,Yes,No,Republican,College degree,MI,White,Male,50-69
Yes,No,Other,Democratic,Some college,FL,White,Male,50-69
Yes,Yes,No,Republican,High school or less,MO,White,Female,50-69
Yes,Yes,No,Other,Some college,IN,Other,Male,30-49
Yes,Yes,No,Other,Some college,MN,White,Female,50-69
No,Other,Other,Other,High school or less,NE,White,Male,30-49
Other,No,Other,Other,College degree,KY,White,Female,18-29
Yes,Other,Other,Other,Some college,OH,White,Female,30-49
Yes,No,Other,Other,Some college,VA,Black,Female,30-49
Yes,No,Other,Democratic,Postgrad,MN,Asian,Female,30-49
Yes,Other,Other,Other,High school or less,KY,White,Male,30-49
Yes,Yes,Yes,Republican,Some college,FL,White,Male,30-49
Other,Yes,No,Other,High school or less,AZ,White,Female,50-69
Yes,Yes,Other,Republican,College degree,MS,White,Male,50-69
Yes,No,Other,Other,Some college,AL,Black,Female,18-29
Yes,No,Other,Republican,College degree,IL,White,Male,30-49
Yes,No,Other,Other,Some college,MI,White,Female,50-69
Yes,No,Other,Other,College degree,RI,White,Male,50-69
Yes,No,Other,Democratic,College degree,SC,White,Female,18-29
Yes,Yes,No,Republican,Postgrad,VA,White,Male,50-69
Yes,No,Other,Democratic,High school or less,AZ,White,Female,50-69
Other,Yes,No,Other,Some college,WI,White,Female,30-49
Yes,No,Other,Democratic,Some college,WA,White,Male,30-49
Yes,Yes,No,Republican,High school or less,GA,Other,Female,50-69
Yes,Yes,No,Other,Some college,NV,White,Female,70+
Yes,No,Other,Other,Some college,MN,Black,Female,18-29
Yes,No,Other,Democratic,Postgrad,NJ,White,Male,30-49
Yes,No,Other,Democratic,Some college,CA,White,Male,50-69
No,No,Other,Other,High school or less,OH,White,Male,18-29
Yes,Yes,No,Other,High school or less,SD,White,Female,30-49
Yes,No,Other,Democratic,College degree,OH,White,Male,30-49
Yes,Yes,No,Republican,Some college,MI,White,Male,50-69
No,Other,Other,Other,High school or less,AZ,White,Female,18-29
Yes,No,Other,Democratic,Some college,MO,White,Male,18-29
Yes,Yes,No,Other,Some college,MN,White,Female,50-69
Other,No,Other,Other,High school or less,WV,White,Male,50-69
Yes,Yes,No,Republican,Some college,LA,White,Male,50-69
Yes,No,Other,Democratic,Some college,MO,White,Female,50-69
Yes,Yes,No,Other,Some college,ME,White,Male,70+
Yes,Other,Other,Other,Some college,MI,White,Female,70+
Other,No,Other,Democratic,Some college,VA,White,Male,70+
Yes,Yes,Yes,Republican,Some college,GA,White,Female,18-29
Yes,No,Other,Other,Postgrad,TX,White,Male,70+
Yes,Yes,No,Republican,College degree,NJ,White,Female,30-49
No,No,Other,Other,Some college,CA,Other,Female,18-29
Yes,No,Other,Democratic,Some college,OR,White,Male,30-49
Yes,Other,Other,Democratic,Some college,TN,White,Female,30-49
Yes,No,Other,Democratic,Some college,IN,Black,Female,30-49
Yes,No,Other,Democratic,College degree,IL,White,Female,30-49
Other,Yes,Yes,Other,Some college,PA,Asian,Male,30-49
Yes,No,Other,Democratic,Some college,VA,Black,Female,18-29
Yes,No,Other,Democratic,College degree,GA,White,Female,30-49
Yes,No,Other,Democratic,Postgrad,NY,White,Male,50-69
Yes,No,Other,Other,College degree,CA,White,Female,30-49
Yes,No,Other,Democratic,High school or less,FL,White,Female,70+
Yes,Yes,No,Other,Postgrad,FL,Other,Male,50-69
Yes,No,Other,Democratic,College degree,FL,White,Male,30-49
Yes,Yes,No,Republican,College degree,TX,White,Male,50-69
Other,Other,Other,Other,Some college,ND,White,Male,18-29
No,No,Other,Other,High school or less,MI,White,Female,50-69
Yes,No,Other,Democratic,College degree,PA,White,Male,50-69
Yes,No,Other,Other,College degree,MT,White,Female,30-49
Yes,Yes,No,Republican,High school or less,NC,White,Female,30-49
Yes,Yes,Yes,Republican,Some college,OH,White,Female,50-69
Yes,Yes,Yes,Republican,Postgrad,AZ,White,Male,70+
Yes,Yes,No,Republican,College degree,TN,White,Female,30-49
Other,No,Other,Other,Some college,CT,White,Male,18-29
Yes,No,Other,Democratic,Postgrad,CA,Black,Male,70+
Yes,No,Other,Democratic,Postgrad,IL,White,Female,30-49
Yes,No,Other,Democratic,College degree,CA,White,Female,30-49
Yes,No,Other,Democratic,College degree,PA,White,Female,30-49
Other,Yes,Other,Other,High school or less,OH,White,Female,50-69
Yes,No,Other,Democratic,Postgrad,AZ,White,Female,30-49
Yes,Yes,No,Republican,Some college,AZ,White,Female,30-49
Yes,No,Other,Democratic,Some college,FL,White,Female,30-49
Yes,No,Other,Democratic,Some college,CA,White,Male,30-49
Yes,No,Other,Democratic,College degree,CA,Asian,Male,30-49
Yes,Yes,No,Republican,Some college,FL,White,Female,30-49
Yes,No,Other,Democratic,Some college,TN,White,Female,30-49
Yes,No,Other,Democratic,College degree,SC,White,Female,18-29
Yes,Other,Yes,Other,Some college,NY,White,Female,30-49
Yes,No,Other,Democratic,Postgrad,WA,Asian,Female,30-49
Yes,No,Other,Democratic,College degree,NY,White,Female,30-49
Yes,No,Other,Democratic,Some college,WI,White,Male,50-69
No,No,Other,Other,High school or less,OH,White,Male,18-29
No,No,Other,Democratic,Some college,KS,White,Female,30-49
Yes,Yes,Other,Republican,Some college,IA,White,Male,70+
Yes,No,Other,Democratic,Postgrad,IL,White,Male,70+
Yes,No,Other,Democratic,High school or less,IL,White,Female,30-49
Yes,No,Other,Democratic,Some college,TX,White,Female,30-49
Yes,Yes,No,Republican,Some college,MS,White,Male,30-49
Yes,No,Other,Other,College degree,NY,Black,Female,18-29
Yes,Yes,Other,Republican,College degree,IN,Black,Female,70+
Yes,No,Other,Democratic,High school or less,KY,White,Female,18-29
Yes,Other,Yes,Democratic,Some college,AZ,White,Female,30-49
Yes,No,Other,Democratic,Some college,FL,White,Male,18-29
Yes,No,Other,Democratic,High school or less,MO,White,Female,18-29
Yes,No,Other,Democratic,Some college,FL,White,Female,70+
Yes,Yes,No,Republican,College degree,OH,White,Male,18-29
Yes,Other,Other,Other,Some college,CA,White,Male,30-49
Yes,No,Other,Democratic,Some college,MI,White,Female,30-49
No,Other,No,Democratic,Postgrad,ME,White,Male,30-49
Other,Yes,Yes,Other,Some college,MI,White,Female,30-49
Yes,No,Other,Democratic,Some college,AL,White,Female,30-49
Yes,No,Other,Democratic,Some college,FL,White,Male,30-49
Yes,Yes,Yes,Other,Some college,MN,White,Female,30-49
Yes,No,Other,Democratic,Postgrad,VA,White,Female,30-49
No,No,Other,Other,Some college,OH,White,Female,30-49
No,No,Other,Other,High school or less,AL,White,Female,30-49
Other,Other,Other,Other,Some college,VA,White,Male,30-49
Yes,No,Other,Other,Postgrad,CO,Asian,Female,50-69
Yes,No,Other,Democratic,High school or less,PA,White,Female,18-29
Yes,Other,Other,Republican,Some college,FL,White,Female,30-49
Yes,Other,Other,Other,College degree,IL,White,Female,30-49
Yes,Yes,Yes,Republican,College degree,IN,White,Male,30-49
No,No,Other,Other,High school or less,IL,White,Female,50-69
Yes,Other,Yes,Other,Postgrad,TX,White,Female,30-49
No,No,Other,Other,High school or less,FL,White,Female,30-49
Yes,No,Other,Democratic,High school or less,TX,White,Male,18-29
Yes,Other,Other,Other,Some college,MI,White,Female,50-69
Yes,No,Other,Democratic,Some college,WI,White,Female,30-49
No,Other,Other,Other,High school or less,TN,White,Female,30-49
Yes,Yes,Other,Republican,College degree,NY,White,Female,18-29
Yes,Yes,Other,Republican,College degree,KS,White,Male,30-49
Yes,No,Other,Other,Postgrad,NY,White,Male,70+
Yes,No,Other,Democratic,Some college,OH,White,Female,18-29
Yes,Yes,No,Republican,College degree,CA,White,Female,70+
Yes,No,Other,Democratic,Some college,FL,Black,Female,18-29
Yes,No,Other,Democratic,College degree,MI,White,Female,30-49
No,Other,No,Other,Some college,VA,White,Female,50-69
Yes,Yes,No,Republican,Some college,FL,White,Female,30-49
Yes,Other,Yes,Republican,Postgrad,MI,White,Female,30-49
Yes,Yes,Yes,Republican,Some college,NY,White,Female,30-49
Yes,No,Other,Democratic,Some college,OR,American Indian,Female,30-49
Yes,Yes,Other,Republican,Some college,AL,White,Female,30-49
Yes,Yes,Other,Republican,Postgrad,NV,White,Male,50-69
Other,No,Other,Other,Some college,MI,White,Male,50-69
Yes,No,Other,Democratic,Some college,TX,White,Female,30-49
Yes,No,Other,Democratic,College degree,TX,White,Female,30-49
Yes,Yes,Yes,Other,High school or less,WV,White,Female,30-49
Yes,No,Other,Democratic,College degree,LA,White,Female,30-49
Yes,Yes,Other,Republican,Some college,MD,White,Male,30-49
Yes,Yes,Yes,Other,Some college,TX,White,Female,30-49
Yes,Yes,No,Republican,High school or less,NC,White,Female,50-69
No,Yes,Other,Other,High school or less,KY,White,Male,18-29
Yes,Yes,Other,Republican,College degree,TX,White,Female,30-49
Yes,No,Other,Other,High school or less,OH,White,Female,18-29
Other,No,Other,Democratic,High school or less,LA,American Indian,Female,18-29
Yes,No,Other,Democratic,High school or less,NC,White,Female,30-49
Other,Yes,No,Other,Some college,AL,White,Female,30-49
No,No,Other,Other,Some college,FL,White,Female,18-29
Yes,Yes,Yes,Other,Some college,OK,White,Female,30-49
Yes,No,Other,Democratic,Some college,WA,White,Female,30-49
Other,No,Other,Other,College degree,IL,Asian,Female,30-49
Yes,No,Other,Democratic,Some college,PA,White,Male,50-69
Yes,No,Other,Democratic,College degree,NY,White,Female,30-49
Yes,Yes,Yes,Republican,Some college,CA,White,Female,18-29
Yes,No,Other,Democratic,Some college,MD,Black,Female,50-69
Yes,No,Other,Democratic,Some college,IL,White,Female,50-69
Yes,No,Other,Other,Some college,TX,White,Female,30-49
Yes,No,Other,Democratic,Some college,NJ,White,Female,70+
Yes,Yes,Yes,Republican,College degree,FL,Other,Male,30-49
Yes,Yes,No,Republican,Some college,TX,White,Male,70+
Yes,Yes,No,Republican,College degree,CA,White,Female,30-49
Yes,No,Other,Democratic,High school or less,MS,Black,Male,18-29
Yes,No,Other,Other,Postgrad,WY,White,Female,30-49
Yes,No,Other,Democratic,Postgrad,AZ,White,Female,30-49
Yes,No,Other,Republican,Some college,NJ,White,Male,50-69
Yes,No,Other,Democratic,High school or less,NC,White,Female,30-49
Yes,Other,Other,Republican,College degree,OH,White,Female,30-49
Yes,Yes,No,Other,Some college,NY,White,Female,30-49
Yes,No,Other,Other,Some college,TX,White,Female,30-49
Yes,No,Other,Democratic,Some college,NY,White,Female,50-69
No,Other,Other,Other,High school or less,PA,White,Female,18-29
Yes,No,Other,Democratic,College degree,IL,White,Female,18-29
Yes,No,Other,Other,Some college,FL,White,Male,70+
Yes,Yes,No,Republican,Postgrad,FL,Black,Male,30-49
Yes,No,Other,Other,High school or less,NH,Other,Female,30-49
Yes,Yes,No,Republican,Some college,GA,White,Male,30-49
Other,Other,Other,Other,College degree,FL,White,Female,30-49
No,No,Other,Other,Some college,OH,White,Female,30-49
Yes,No,Other,Democratic,High school or less,FL,White,Female,18-29
Yes,Other,Other,Other,Some college,TX,White,Female,18-29
Yes,No,Other,Democratic,Postgrad,VA,Other,Female,30-49
Yes,No,Other,Democratic,Some college,NV,Black,Male,30-49
Yes,No,Other,Other,College degree,CA,Black,Female,30-49
Yes,No,Other,Democratic,Some college,OH,Black,Female,30-49
No,No,Other,Other,Some college,GA,White,Female,30-49
Yes,No,Other,Democratic,Some college,GA,White,Male,50-69
Yes,No,Other,Democratic,Postgrad,OR,White,Female,30-49
Yes,No,Other,Democratic,Some college,IL,White,Female,18-29
Yes,Yes,No,Other,Some college,ID,White,Male,30-49
Yes,Yes,No,Republican,High school or less,OH,White,Female,30-49
Yes,No,Other,Other,Postgrad,FL,Black,Female,30-49
Yes,Yes,No,Republican,High school or less,IN,White,Female,30-49
Other,Yes,Other,Other,High school or less,KY,White,Female,30-49
Yes,No,Other,Democratic,High school or less,IL,White,Female,18-29
Yes,No,Other,Democratic,Some college,LA,Black,Female,30-49
No,No,Other,Other,High school or less,TX,Black,Male,30-49
Yes,Yes,No,Republican,Some college,FL,White,Female,18-29
No,Yes,No,Republican,Some college,WV,White,Female,30-49
Yes,Yes,Yes,Republican,Postgrad,FL,White,Male,30-49
Yes,Yes,No,Republican,High school or less,FL,White,Female,30-49
Yes,Other,Yes,Other,College degree,AZ,White,Male,30-49
Yes,Yes,Other,Other,Some college,AZ,White,Female,30-49
Yes,Other,Yes,Other,High school or less,MI,Black,Female,30-49
Other,No,Other,Other,High school or less,GA,White,Female,18-29
Yes,Yes,Yes,Other,Some college,MN,White,Male,30-49
Yes,No,Other,Democratic,High school or less,NV,Black,Female,18-29
No,No,Other,Other,Some college,NE,White,Female,30-49
No,Yes,No,Republican,Some college,CA,Asian,Male,30-49
No,No,Other,Other,High school or less,NC,White,Female,30-49
Yes,No,Other,Democratic,College degree,PA,American Indian,Female,30-49
Yes,No,Other,Democratic,College degree,MI,White,Female,30-49
Yes,No,Other,Democratic,Some college,PA,White,Female,30-49
Yes,Yes,No,Republican,Postgrad,VA,White,Male,30-49
Yes,Yes,Yes,Other,Some college,FL,White,Female,30-49
Yes,No,Other,Other,College degree,NC,White,Male,30-49
Yes,No,Other,Democratic,College degree,PA,White,Female,30-49
Yes,Yes,Other,Other,Some college,GA,White,Female,30-49
Other,No,Other,Other,High school or less,FL,Black,Female,30-49
Yes,No,Other,Other,Some college,IN,Black,Male,30-49
Yes,No,Other,Republican,College degree,CA,White,Female,50-69
Yes,No,Other,Other,College degree,NJ,Other,Female,18-29
No,No,Other,Other,High school or less,AZ,White,Female,30-49
Yes,Yes,No,Republican,High school or less,SC,White,Female,30-49
Yes,No,Other,Democratic,College degree,NY,Asian,Female,18-29
Yes,Other,Other,Republican,Some college,TX,Other,Female,30-49
No,Other,No,Other,High school or less,FL,White,Female,18-29
Yes,No,Other,Democratic,Postgrad,KY,White,Female,30-49
Yes,Other,Yes,Democratic,College degree,FL,White,Female,30-49
Yes,No,Other,Other,Some college,FL,White,Female,18-29
Other,No,Other,Other,Some college,NY,White,Female,50-69
Yes,Other,Other,Republican,Some college,NC,Other,Female,18-29
Yes,No,Other,Democratic,High school or less,OH,White,Female,30-49
Other,Yes,Other,Other,High school or less,NE,White,Female,30-49
Other,Yes,No,Republican,High school or less,IA,White,Female,30-49
Yes,No,Other,Democratic,Some college,OH,White,Female,30-49
Other,No,Other,Other,Some college,TX,Black,Female,30-49
Yes,Yes,No,Republican,College degree,CA,White,Female,50-69
Yes,No,Other,Democratic,College degree,PA,Other,Female,30-49
Yes,No,Other,Democratic,Postgrad,NY,White,Female,30-49
Other,Other,Other,Other,Some college,PA,White,Female,30-49
Yes,Yes,No,Other,Some college,MI,White,Male,50-69
No,No,Other,Democratic,Some college,AR,Black,Female,30-49
Yes,No,Other,Democratic,High school or less,DC,White,Female,18-29
Yes,Yes,No,Republican,Some college,NH,White,Female,18-29
Yes,Other,Yes,Republican,College degree,CA,Asian,Male,50-69
Other,Other,Other,Other,High school or less,IN,White,Male,30-49
No,No,Other,Other,Some college,MN,White,Female,30-49
Yes,No,Other,Democratic,High school or less,FL,White,Female,50-69
No,No,Other,Other,High school or less,IN,White,Female,30-49
Yes,No,Other,Democratic,Some college,MA,American Indian,Female,50-69
Yes,Yes,No,Republican,Postgrad,IA,White,Female,30-49
Yes,No,Other,Democratic,High school or less,TX,White,Female,30-49
Yes,No,Other,Democratic,Postgrad,KS,White,Female,30-49
Yes,No,Other,Democratic,Some college,NV,White,Male,50-69
Yes,No,Other,Democratic,Postgrad,OH,Black,Female,30-49
Yes,No,Other,Other,High school or less,PA,White,Female,18-29
Yes,Yes,No,Other,High school or less,NY,White,Male,18-29
Yes,Other,Other,Other,Postgrad,FL,White,Female,30-49
Yes,No,Other,Democratic,High school or less,ME,White,Male,18-29
Yes,No,Other,Democratic,Some college,FL,White,Female,30-49
Yes,Yes,Yes,Other,High school or less,GA,White,Male,30-49
Yes,No,Other,Democratic,Some college,NV,White,Female,30-49
Yes,Yes,No,Other,High school or less,LA,White,Female,30-49
Yes,No,Other,Democratic,High school or less,NV,White,Male,18-29
Yes,Other,Other,Other,College degree,MO,White,Male,30-49
Yes,No,Other,Democratic,Some college,IN,White,Female,30-49
Yes,No,Other,Other,College degree,OH,White,Female,18-29
Yes,No,Other,Democratic,Some college,PA,White,Female,50-69
Yes,Yes,No,Republican,College degree,SD,White,Female,30-49
Yes,No,Other,Democratic,Postgrad,FL,White,Female,30-49
Yes,Yes,No,Republican,Some college,OH,White,Male,50-69
Yes,No,Other,Democratic,Postgrad,DE,White,Female,30-49
Yes,Yes,Other,Other,Some college,FL,White,Female,30-49
Yes,Yes,No,Republican,Some college,WI,White,Male,50-69
No,No,Other,Other,High school or less,NC,Black,Female,30-49
Yes,No,Other,Democratic,College degree,TX,White,Female,30-49
Yes,Other,Yes,Other,High school or less,NY,Asian,Male,30-49
Yes,No,Other,Democratic,High school or less,CA,Asian,Male,18-29
Yes,No,Other,Republican,College degree,CA,White,Male,30-49
Yes,No,Other,Democratic,College degree,IN,White,Female,30-49
Yes,No,Other,Democratic,Some college,SC,Black,Male,50-69
Yes,No,Other,Democratic,Postgrad,NH,White,Female,30-49
Yes,No,Other,Democratic,Postgrad,NY,White,Female,30-49
Yes,No,Other,Democratic,Some college,NY,White,Male,50-69
Yes,Yes,No,Republican,Postgrad,PA,White,Female,30-49
Yes,Yes,Yes,Other,Some college,MI,White,Female,18-29
No,No,Other,Other,Some college,MA,Other,Female,30-49
Yes,No,Other,Democratic,College degree,NC,White,Female,18-29
Yes,Yes,No,Republican,Some college,CA,White,Male,30-49
Yes,Yes,No,Republican,Some college,FL,White,Female,50-69
Yes,Yes,Other,Other,Some college,FL,White,Male,30-49
No,No,Other,Other,High school or less,TX,White,Male,18-29
Other,No,Other,Other,Postgrad,OK,White,Female,30-49
Yes,Yes,Other,Republican,College degree,OH,White,Male,30-49
Yes,No,Other,Democratic,Some college,PA,White,Female,50-69
Yes,No,Other,Democratic,Some college,AL,Black,Female,30-49
No,Yes,No,Other,Some college,PA,White,Female,50-69
No,No,Other,Other,High school or less,TX,Other,Female,18-29
Yes,No,Other,Democratic,College degree,PA,White,Male,18-29
Yes,No,Other,Democratic,High school or less,MI,Black,Male,18-29
Yes,Other,Other,Other,Some college,PA,White,Female,18-29
Yes,No,Other,Democratic,High school or less,OH,White,Female,30-49
Yes,No,Other,Democratic,College degree,GA,Black,Female,30-49
Yes,Yes,No,Republican,High school or less,ID,White,Male,50-69
Yes,No,Other,Other,Some college,FL,Black,Female,30-49
Yes,No,Other,Democratic,College degree,MD,White,Female,30-49
Yes,No,Other,Democratic,College degree,CO,White,Female,18-29
Yes,No,Other,Democratic,High school or less,PA,White,Female,30-49
Yes,No,Other,Other,College degree,CA,White,Male,30-49
Yes,No,Other,Democratic,College degree,MN,White,Female,50-69
Other,No,Other,Other,High school or less,PA,White,Female,18-29
Yes,No,Other,Democratic,Some college,WI,White,Female,30-49
Yes,No,Other,Democratic,College degree,CA,White,Female,30-49
Yes,No,Other,Other,Some college,NY,White,Female,30-49
Yes,Yes,Yes,Republican,High school or less,UT,White,Female,18-29
Yes,No,Other,Democratic,High school or less,WA,White,Female,30-49
No,Other,Other,Other,High school or less,CO,White,Male,30-49
Yes,Yes,No,Republican,Some college,PA,White,Male,30-49
Yes,Yes,Yes,Other,Some college,TX,White,Female,30-49
Yes,Yes,Other,Republican,Some college,FL,White,Male,18-29
Other,No,Other,Other,Some college,TN,White,Female,18-29
Yes,Yes,No,Republican,Some college,MO,White,Female,50-69
Yes,No,Other,Democratic,High school or less,TX,Black,Female,30-49
Yes,No,Other,Other,Postgrad,NV,White,Female,30-49
Yes,Other,Other,Republican,College degree,TX,White,Male,50-69
Yes,No,Other,Other,High school or less,NY,White,Female,30-49
Yes,No,Other,Democratic,College degree,IN,White,Female,30-49
Yes,No,Other,Democratic,High school or less,FL,Black,Male,18-29
Yes,No,Other,Democratic,College degree,FL,Black,Female,30-49
Yes,No,Other,Democratic,College degree,FL,White,Female,30-49
Yes,Yes,No,Republican,High school or less,CA,White,Female,30-49
Other,No,Other,Democratic,Some college,IA,White,Female,18-29
Yes,Other,Other,Other,Some college,CT,White,Female,18-29
Yes,Yes,No,Republican,Some college,FL,White,Male,50-69
Yes,Yes,No,Republican,College degree,KY,White,Male,50-69
Yes,No,Other,Democratic,Postgrad,CO,White,Female,30-49
Yes,No,Other,Other,Some college,SC,White,Female,18-29
Yes,Yes,Other,Republican,Some college,TX,White,Male,50-69
Yes,No,Other,Democratic,College degree,TX,White,Male,30-49
Yes,No,Other,Democratic,High school or less,PA,White,Female,30-49
Yes,No,Other,Other,Some college,FL,White,Female,30-49
Yes,No,Other,Other,Some college,MO,White,Female,30-49
Yes,No,Other,Democratic,High school or less,NE,American Indian,Female,18-29
Yes,Other,Yes,Republican,High school or less,FL,White,Female,30-49
Other,Yes,No,Republican,Some college,IN,White,Female,30-49
Yes,No,Other,Democratic,Some college,AL,White,Female,50-69
Yes,Yes,No,Republican,High school or less,VA,Black,Female,30-49
Yes,No,Other,Other,Some college,UT,Other,Male,30-49
Yes,No,Other,Democratic,Some college,GA,Black,Male,50-69
Yes,Yes,Yes,Republican,College degree,MD,White,Male,30-49
No,No,Other,Other,Some college,GA,Black,Female,18-29
Yes,No,Other,Democratic,Some college,NM,White,Female,30-49
Yes,Other,Yes,Democratic,Some college,TX,White,Female,30-49
Yes,Other,Other,Other,Some college,NY,White,Female,30-49
Yes,No,Other,Democratic,High school or less,GA,Black,Female,50-69
